player_id,full_name,position,GW,gameweek_points,value,avg_score_last_1,avg_score_last_3,ict_last_1,ict_last_3,avg_mins_last_1,avg_mins_last_3,xG_last_1,xG_last_3,xA_last_1,xA_last_3,clean_sheets_last_1,clean_sheets_last_3,fixture_difficulty,season
6,Thomas Partey,MID,38,3,47,2.0,1.0,3.5,6.500000000000002,90.0,43.333333333333336,0.0,0.0,0.1,0.1599999999999999,0.0,0.0,2,2022-23
7,Martin Ødegaard,MID,18,13,65,11.0,13.5,14.7,29.4,90.0,90.0,0.3793,1.5449,0.2591,0.29196,0.0,1.0,3,2022-23
7,Martin Ødegaard,MID,19,2,66,13.0,13.333333333333334,13.0,42.4,86.0,88.66666666666667,0.0623,1.6072,0.77473,1.06669,0.0,1.0,3,2022-23
7,Martin Ødegaard,MID,20,9,67,2.0,8.666666666666666,6.3,34.0,90.0,88.66666666666667,0.217,0.6586000000000001,0.18336,1.2171900000000002,1.0,1.0,4,2022-23
7,Martin Ødegaard,MID,21,5,68,9.0,8.0,9.3,28.6,90.0,88.66666666666667,0.1418,0.4211,0.14389,1.10198,1.0,2.0,3,2022-23
7,Martin Ødegaard,MID,22,2,69,5.0,5.333333333333333,5.3,20.9,90.0,90.0,0.4177,0.7765,0.03587,0.36312,0.0,2.0,2,2022-23
7,Martin Ødegaard,MID,23,2,70,2.0,5.333333333333333,3.9,18.5,76.0,85.33333333333333,0.1,0.6595,0.15,0.3297599999999999,0.0,1.0,3,2022-23
7,Martin Ødegaard,MID,23,2,70,2.0,3.0,9.0,18.2,90.0,85.33333333333333,0.12,0.6376999999999999,0.18,0.36587,0.0,0.0,5,2022-23
7,Martin Ødegaard,MID,24,8,70,2.0,2.0,2.5,15.4,90.0,85.33333333333333,0.1,0.32,0.11,0.4399999999999999,0.0,0.0,2,2022-23
7,Martin Ødegaard,MID,25,3,70,8.0,4.0,13.4,24.9,90.0,90.0,0.34,0.56,0.6,0.8899999999999999,0.0,0.0,3,2022-23
7,Martin Ødegaard,MID,25,8,70,3.0,4.333333333333333,5.2,21.1,83.0,87.66666666666667,0.15,0.59,0.1,0.81,1.0,1.0,2,2022-23
7,Martin Ødegaard,MID,26,2,70,8.0,6.333333333333333,9.3,27.9,90.0,87.66666666666667,0.4,0.89,0.09,0.79,1.0,2.0,2,2022-23
7,Martin Ødegaard,MID,27,7,69,2.0,4.333333333333333,14.3,28.800000000000004,90.0,87.66666666666667,0.56,1.11,0.38,0.5700000000000001,0.0,2.0,2,2022-23
7,Martin Ødegaard,MID,28,2,69,7.0,5.666666666666667,9.5,33.1,90.0,90.0,0.45,1.41,0.18,0.65,1.0,2.0,2,2022-23
7,Martin Ødegaard,MID,29,6,68,2.0,3.6666666666666665,5.4,29.200000000000003,90.0,90.0,0.25,1.2599999999999998,0.3,0.8600000000000001,0.0,1.0,2,2022-23
7,Martin Ødegaard,MID,30,2,67,6.0,5.0,6.3,21.200000000000003,84.0,88.0,0.0,0.7,0.28,0.76,0.0,1.0,4,2022-23
7,Martin Ødegaard,MID,31,10,67,2.0,3.3333333333333335,1.5,13.200000000000005,79.0,84.33333333333333,0.05,0.2999999999999999,0.01,0.5900000000000001,0.0,0.0,3,2022-23
7,Martin Ødegaard,MID,32,7,67,10.0,6.0,9.0,16.800000000000004,89.0,84.0,0.57,0.6199999999999999,0.17,0.4600000000000001,0.0,0.0,2,2022-23
7,Martin Ødegaard,MID,33,2,67,7.0,6.333333333333333,9.2,19.700000000000003,90.0,86.0,0.28,0.8999999999999998,0.19,0.37,0.0,0.0,5,2022-23
7,Martin Ødegaard,MID,34,15,66,2.0,6.333333333333333,2.0,20.200000000000003,70.0,83.0,0.0,0.8499999999999998,0.04,0.4,0.0,0.0,3,2022-23
7,Martin Ødegaard,MID,35,10,66,15.0,8.0,16.5,27.700000000000003,90.0,83.33333333333333,0.39,0.6699999999999998,0.12,0.35,0.0,0.0,4,2022-23
7,Martin Ødegaard,MID,36,2,67,10.0,9.0,11.8,30.300000000000004,79.0,79.66666666666667,0.5,0.8899999999999998,0.17,0.33,1.0,1.0,3,2022-23
7,Martin Ødegaard,MID,37,2,68,2.0,9.0,3.1,31.40000000000001,76.0,81.66666666666667,0.06,0.9499999999999996,0.07,0.36,0.0,1.0,2,2022-23
7,Martin Ødegaard,MID,38,3,69,2.0,4.666666666666667,3.3,18.200000000000003,90.0,81.66666666666667,0.03,0.5899999999999997,0.11,0.35,0.0,1.0,2,2022-23
8,Kieran Tierney,DEF,18,0,47,2.0,1.0,2.1,2.1,72.0,36.0,0.0,0.0,0.0393,0.0393,0.0,0.0,3,2022-23
8,Kieran Tierney,DEF,20,1,47,0.0,0.6666666666666666,0.0,2.9000000000000004,0.0,34.0,0.0,0.0,0.0,0.03944,0.0,0.0,4,2022-23
8,Kieran Tierney,DEF,24,1,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2022-23
8,Kieran Tierney,DEF,25,1,46,0.0,0.3333333333333333,0.0,0.2,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,2,2022-23
8,Kieran Tierney,DEF,27,1,46,0.0,0.3333333333333333,0.0,1.0,0.0,2.6666666666666665,0.0,0.0,0.0,0.02,0.0,0.0,2,2022-23
8,Kieran Tierney,DEF,28,4,46,1.0,0.6666666666666666,0.6,1.6,18.0,8.666666666666666,0.0,0.0,0.0,0.02,0.0,0.0,2,2022-23
8,Kieran Tierney,DEF,29,1,46,4.0,1.6666666666666667,3.1,3.7,25.0,14.333333333333334,0.0,0.0,0.07,0.07,0.0,0.0,2,2022-23
8,Kieran Tierney,DEF,30,1,46,1.0,2.0,0.1,3.8,5.0,16.0,0.0,0.0,0.0,0.07,0.0,0.0,4,2022-23
8,Kieran Tierney,DEF,31,1,46,1.0,2.0,0.6,3.8,2.0,10.666666666666666,0.04,0.04,0.0,0.07,0.0,0.0,3,2022-23
8,Kieran Tierney,DEF,34,1,46,0.0,0.3333333333333333,0.0,2.9000000000000004,0.0,28.0,0.0,0.0,0.0,0.03,0.0,0.0,3,2022-23
8,Kieran Tierney,DEF,35,1,46,1.0,0.3333333333333333,0.7,0.7,17.0,5.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,4,2022-23
8,Kieran Tierney,DEF,36,1,46,1.0,0.6666666666666666,0.8,1.5,29.0,15.333333333333334,0.0,0.0,0.02,0.02,0.0,0.0,3,2022-23
8,Kieran Tierney,DEF,37,1,46,1.0,1.0,1.4,2.9,90.0,45.333333333333336,0.0,0.0,0.0,0.02,0.0,0.0,2,2022-23
8,Kieran Tierney,DEF,38,1,46,1.0,1.0,0.9,3.1,27.0,48.666666666666664,0.08,0.08,0.02,0.04,0.0,0.0,2,2022-23
10,Benjamin White,DEF,18,1,47,2.0,5.0,4.6,10.2,90.0,90.0,0.0,0.0376,0.32862,0.9147,0.0,1.0,3,2022-23
10,Benjamin White,DEF,19,7,47,1.0,3.6666666666666665,0.9,11.1,59.0,79.66666666666667,0.0,0.0376,0.00079,0.91549,0.0,1.0,3,2022-23
10,Benjamin White,DEF,20,8,47,7.0,3.3333333333333335,3.2,8.7,75.0,74.66666666666667,0.0,0.0,0.015,0.34441,1.0,1.0,4,2022-23
10,Benjamin White,DEF,21,0,47,8.0,5.333333333333333,3.3,7.4,90.0,74.66666666666667,0.0,0.0,0.05013,0.06592,1.0,2.0,3,2022-23
10,Benjamin White,DEF,22,2,47,0.0,5.0,0.3,6.8,45.0,70.0,0.0,0.0,0.00482,0.06995,0.0,2.0,2,2022-23
10,Benjamin White,DEF,23,2,47,2.0,3.3333333333333335,1.6,5.2,84.0,73.0,0.0,0.0,0.04,0.09495,0.0,1.0,3,2022-23
10,Benjamin White,DEF,23,1,47,2.0,1.3333333333333333,6.5,8.4,90.0,73.0,0.0,0.0,0.12,0.16482,0.0,0.0,5,2022-23
10,Benjamin White,DEF,24,1,47,1.0,1.6666666666666667,0.5,8.6,7.0,60.333333333333336,0.03,0.03,0.0,0.16,0.0,0.0,2,2022-23
10,Benjamin White,DEF,25,7,47,1.0,1.3333333333333333,2.9,9.9,78.0,58.333333333333336,0.0,0.03,0.28,0.4,0.0,0.0,3,2022-23
10,Benjamin White,DEF,25,6,47,7.0,3.0,2.1,5.5,90.0,58.333333333333336,0.0,0.03,0.04,0.32,1.0,1.0,2,2022-23
