first_name,second_name,element_type,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,bonus,influence,creativity,threat,now_cost,ict_index,id,value,full_name
Carlos Vinícius,Alves Morais,FWD,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,50,0.0,258,0.0,Carlos Vinícius Alves Morais
Harry,Wilson,MID,2,36,0,0,0,1,1,0,0,0.2,5.2,12.0,53,1.6,259,0.3773584905660377,Harry Wilson
Ryan,Sessegnon,DEF,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,43,0.0,579,0.0,Ryan Sessegnon
Jorge,Cuenca Barreno,DEF,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,44,0.0,586,0.0,Jorge Cuenca Barreno
Josh,King,MID,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,45,0.0,604,0.0,Josh King
Martial,Godo,MID,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,45,0.0,605,0.0,Martial Godo
Sander,Berge,MID,6,172,0,0,0,4,0,0,0,36.6,46.6,4.0,50,8.6,622,1.2,Sander Berge
Ali,Al-Hamadi,FWD,1,32,0,0,0,1,2,0,0,4.0,11.5,4.0,49,2.0,260,0.2040816326530612,Ali Al-Hamadi
Elkan,Baggott,DEF,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,40,0.0,261,0.0,Elkan Baggott
Nathan,Broadhead,MID,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,49,0.0,262,0.0,Nathan Broadhead
Cameron,Burgess,DEF,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,39,0.0,263,0.0,Cameron Burgess
Wes,Burns,MID,6,280,0,0,0,5,1,0,0,18.2,48.9,17.0,49,8.0,264,1.2244897959183672,Wes Burns
Conor,Chaplin,MID,7,96,0,0,0,1,0,0,0,10.2,20.1,2.0,52,3.3,265,1.346153846153846,Conor Chaplin
Harry,Clarke,DEF,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,40,0.0,266,0.0,Harry Clarke
Leif,Davis,DEF,18,630,0,1,1,14,0,0,3,123.0,232.1,36.0,45,39.2,267,4.0,Leif Davis
Liam,Delap,FWD,31,537,4,0,0,13,2,0,4,155.6,60.6,151.0,56,36.6,268,5.535714285714286,Liam Delap
George,Edmundson,DEF,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,40,0.0,269,0.25,George Edmundson
Jacob,Greaves,DEF,11,630,0,0,1,14,1,0,0,154.8,4.7,55.0,41,21.5,270,2.6829268292682924,Jacob Greaves
Marcus,Myers-Harness,MID,2,43,0,0,0,2,0,0,0,9.4,1.9,6.0,49,1.7,271,0.4081632653061224,Marcus Myers-Harness
George,Hirst,FWD,4,56,0,0,0,0,0,0,0,4.4,11.6,41.0,54,5.8,272,0.7407407407407407,George Hirst
Cameron,Humphreys,MID,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,45,0.0,273,0.0,Cameron Humphreys
Omari,Giraud-Hutchinson,MID,16,614,0,1,1,14,3,0,1,69.8,72.1,72.0,53,21.5,274,3.0188679245283017,Omari Giraud-Hutchinson
Ben,Johnson,DEF,4,221,0,1,0,10,0,0,0,59.4,20.6,0.0,40,8.0,275,1.0,Ben Johnson
Freddie,Ladapo,FWD,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,45,0.0,276,0.0,Freddie Ladapo
Massimo,Luongo,MID,6,142,0,0,0,4,0,0,0,25.0,4.3,0.0,45,3.0,277,1.3333333333333333,Massimo Luongo
Sam,Morsy,MID,18,623,1,0,1,14,4,0,2,123.2,73.7,16.0,49,21.3,278,3.6734693877551017,Sam Morsy
Corrie,Ndaba,DEF,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,40,0.0,279,0.0,Corrie Ndaba
Cieran,Slicker,GK,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,40,0.0,280,0.0,Cieran Slicker
Jack,Taylor,MID,4,109,0,0,0,2,1,0,0,16.0,7.3,10.0,48,3.2,281,0.8333333333333333,Jack Taylor
Axel,Tuanzebe,DEF,11,512,0,0,1,10,1,0,0,102.0,43.0,19.0,40,16.4,282,2.75,Axel Tuanzebe
Christian,Walton,GK,2,90,0,0,0,2,0,0,0,28.2,0.0,0.0,44,2.8,283,0.45454545454545453,Christian Walton
Luke,Woolfenden,DEF,2,270,0,0,0,7,1,0,0,58.2,1.3,6.0,40,6.6,284,0.5,Luke Woolfenden
Kalvin,Phillips,MID,8,300,0,0,1,7,1,0,0,40.8,24.1,8.0,49,7.3,359,1.6326530612244896,Kalvin Phillips
Arijanet,Muric,GK,19,540,0,0,1,12,0,0,3,152.4,0.0,0.0,44,15.3,568,4.3181818181818175,Arijanet Muric
Conor,Townsend,DEF,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,40,0.0,583,0.0,Conor Townsend
Sam,Szmodics,MID,14,303,1,0,0,5,1,0,0,40.8,16.8,47.0,59,10.3,611,2.3728813559322033,Sam Szmodics
Jens,Cajuste,MID,3,80,0,0,0,1,0,0,0,8.4,25.0,1.0,45,3.4,619,0.6666666666666666,Jens Cajuste
Dara,O'Shea,DEF,9,360,0,0,1,7,1,0,1,107.2,2.0,42.0,40,15.2,630,2.25,Dara O'Shea
Jack,Clarke,MID,9,231,0,1,0,6,1,0,0,42.6,62.6,34.0,55,13.7,631,1.6363636363636365,Jack Clarke
Chiedozie,Ogbene,MID,6,203,0,0,0,3,0,0,0,22.8,29.4,12.0,50,6.4,632,1.2,Chiedozie Ogbene
Facundo,Buonanotte,MID,28,369,2,2,1,5,2,0,3,148.0,98.3,78.0,50,32.4,117,5.6,Facundo Buonanotte
Jordan,Ayew,MID,9,377,0,0,1,8,3,0,0,22.6,60.3,49.0,52,13.2,192,1.7307692307692306,Jordan Ayew
Odsonne,Edouard,FWD,6,139,0,0,0,3,0,0,0,3.0,25.0,50.0,53,7.8,198,1.132075471698113,Odsonne Edouard
