element,name,position,GW,total_points,value,minutes,expected_goals,expected_assists,expected_goals_conceded,goals_scored,assists,goals_conceded,clean_sheets,ict_index,fixture,was_home,fixture_difficulty
646,Karl Hein,GK,1,0,40,0,0.0,0.0,0.0,0,0,0,0,0.0,2,True,2
127,Aaron Connolly,FWD,1,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,4,True,2
385,Dean Henderson,GK,1,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,10,True,2
177,Jay Rodriguez,FWD,1,0,55,0,0.0,0.0,0.0,0,0,0,0,0.0,1,True,5
83,Marcos Senesi,DEF,1,1,45,59,0.0,0.02,0.84,0,0,1,0,1.7,3,True,2
30,Granit Xhaka,MID,1,0,60,0,0.0,0.0,0.0,0,0,0,0,0.0,2,True,2
596,James Trafford,GK,1,2,45,90,0.0,0.0,2.21,0,0,3,0,0.0,1,True,5
407,Dan Burn,DEF,1,2,45,90,0.16,0.01,1.9,0,0,1,0,3.2,6,True,3
525,Saïd Benrahma,MID,1,2,60,90,0.08,0.27,1.37,0,0,1,0,6.0,3,False,2
434,Brandon Aguilera Zamora,MID,1,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,2,False,5
650,Tyler Onyango,MID,1,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,5,True,2
336,Joe Taylor,FWD,1,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,4,False,3
408,Karl Darlow,GK,1,0,40,0,0.0,0.0,0.0,0,0,0,0,0.0,6,True,3
220,Joachim Andersen,DEF,1,9,45,90,0.15,0.11,0.49,0,0,0,1,10.8,7,False,2
319,Allan Campbell,MID,1,0,50,0,0.0,0.0,0.0,0,0,0,0,0.0,4,False,3
325,Carlos Mendes Gomes,MID,1,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,4,False,3
567,Pedro Lomba Neto,MID,1,1,55,90,0.79,0.35,1.46,0,0,1,0,13.2,10,False,4
625,Luc De Fougerolles,DEF,1,0,40,0,0.0,0.0,0.0,0,0,0,0,0.0,5,False,2
640,Dane Scarlett,FWD,1,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,8,False,2
42,Lucas Digne,DEF,1,-1,45,90,0.0,0.15,3.44,0,0,5,0,6.0,6,False,4
199,Enzo Fernández,MID,1,1,50,90,0.06,0.11,1.28,0,0,1,0,6.7,9,True,4
428,Matt Targett,DEF,1,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,6,True,3
253,Demarai Gray,MID,1,0,55,0,0.0,0.0,0.0,0,0,0,0,0.0,5,True,2
361,Stefan Ortega Moreno,GK,1,0,40,0,0.0,0.0,0.0,0,0,0,0,0.0,1,False,2
230,Sam Johnstone,GK,1,6,45,90,0.0,0.0,0.49,0,0,0,1,0.7,7,False,2
35,Emiliano Buendía Stati,MID,1,0,60,0,0.0,0.0,0.0,0,0,0,0,0.0,6,False,4
32,Alexandre Moreno Lopera,DEF,1,0,50,0,0.0,0.0,0.0,0,0,0,0,0.0,6,False,4
